name,artists,id_artists,release_year,popularity,duration_minutes,key,mode,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
The Finale - Pt. I,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,1992,24,2.668216667,Re,1,0,0.143,0.0557,-24.48,0.0365,0.335,0.681,0.148,0.0387,75.881
Save the Last Dance for Me,Orchester Anthony Ventura,2hHn2RczMs5jxSd3a7rFXK,1992,24,2.639116667,Re,1,0,0.359,0.245,-16.854,0.0257,0.541,0.747,0.204,0.532,80.615
Die Dornenvögel,Walter Scholz,1aA5IpWFjCvbjMku2Cb14R,1992,26,3.234,La(b),1,0,0.224,0.363,-11.997,0.0326,0.882,0.884,0.0838,0.0956,144.193
Die Zeiten sind hart,Peter Maffay,5W3s4beu23rOlseCbVOp4l,1992,8,4.376216667,La,1,0,0.662,0.32,-14.298,0.0256,0.668,0,0.0736,0.351,90.978
Untogether,Lush,3ysp8GwsheDcBxP9q65lBg,1992,29,3.557783333,Mi,0,0,0.621,0.767,-11.07,0.0312,0.191,4.48E-05,0.0914,0.901,121.05
Joyce,Kino Cabral,4PGuS1X86URSnGybdhlboz,1992,12,5.42555,Do,1,0,0.73,0.73,-10.181,0.0708,0.0786,0.00431,0.0937,0.569,104.046
ミスターWICKED,ECD,3d4pf0YkgGn4xKLFvhORvw,1992,26,3.166666667,Do,1,0,0.843,0.465,-12.983,0.282,0.745,0,0.278,0.683,93.94
A River Through It,Mark Isham,5qlzaXu4riV8YLrL97cwyI,1992,31,2.392216667,Sol,1,0,0.162,0.118,-16.241,0.0439,0.987,0.246,0.197,0.132,79.181
Es wird Regen geben,Die Fantastischen Vier,748dDObrUoBetes0pLj788,1992,11,3.592883333,Si,0,0,0.899,0.73,-12.369,0.0971,0.234,0.0351,0.54,0.797,113.72
The Days Of Old,Paris,6UPRFx3Gnn5N67opROnwA5,1992,34,4.322216667,La(b),0,1,0.726,0.639,-10.728,0.193,0.039,1.82E-06,0.258,0.695,93.18
La montanara,Anthony Ventura,02UJNg1LEJ1vQSNm3Mo0R9,1992,27,2.078883333,La,1,0,0.256,0.365,-13.509,0.029,0.187,0.542,0.179,0.274,162.93
